feature,nan_count,non_finite_count,unique_count,mean,std,min,max,zero_fraction,is_constant
accel_mean,0,0,3153,1.526148487816706,0.6236659255292797,0.2669547107453199,6.406087201983695,0.0,False
accel_std,0,0,3153,0.8437141194754916,0.42753754428680074,0.15145876923680981,4.840160575833767,0.0,False
accel_min,0,0,1648,0.17280838039396484,0.1048655893028755,0.0,1.0148719570419003,0.0006343165239454488,False
accel_max,0,0,1705,5.132380023264053,3.1770496972981146,0.7427681969136832,36.44049812368562,0.0,False
accel_rms,0,0,3153,1.7506619194724817,0.7402115268067156,0.3132325235159986,8.026693723640589,0.0,False
accel_p50,0,0,3129,1.361344353916439,0.5607924537853628,0.2054684888494429,5.029220633881211,0.0,False
accel_p75,0,0,3136,1.9546878548970255,0.7981144610886352,0.35060221827974136,8.621330496428758,0.0,False
accel_p90,0,0,3090,2.6342801391882116,1.1140145193792084,0.4954908599798695,12.944614484660631,0.0,False
accel_p95,0,0,3014,3.120194589064208,1.3984156795404765,0.619886344828076,16.187039291454173,0.0,False
accel_energy,0,0,3153,3.612730260708603,3.566689666546975,0.09811461378820062,64.42781213313121,0.0,False
accel_peak_count,0,0,200,43.928005074532194,46.08306410241071,0.0,246.0,0.12369172216936251,False
accel_sma,0,0,3153,1.526148487816706,0.6236659255292797,0.2669547107453199,6.406087201983695,0.0,False
jerk_mean,0,0,3153,65.63545729375706,32.08845725806241,5.601440494911,223.046387031943,0.0,False
jerk_std,0,0,3153,55.818147925924386,31.055175075003543,4.510577198975589,344.3001997506885,0.0,False
jerk_min,0,0,1577,0.29753464682928593,0.3559837972533034,0.00012534187985331242,3.894121317506569,0.0,False
jerk_max,0,0,1710,323.2630219615635,239.6083282762991,21.27100955965018,2680.2937556235024,0.0,False
jerk_rms,0,0,3153,86.46010536035214,44.072917548755626,7.1917621127194735,384.4273133429643,0.0,False
jerk_p90,0,0,3119,138.92754784014463,68.0431326072913,12.586836411332468,461.54134725644326,0.0,False
jerk_p95,0,0,3060,171.9586209799094,86.89171669856532,14.347498678726978,771.1452432294112,0.0,False
jerk_energy,0,0,3153,9417.771880182601,10474.439525559366,51.72144228594726,147784.35924408963,0.0,False
jerk_peak_count,0,0,207,237.01776086267049,38.804784402753036,12.0,292.0,0.0,False
gyro_mean,0,0,3153,0.135872842770932,0.19044809019855088,0.017336975136464157,2.766054797376198,0.0,False
gyro_std,0,0,3153,0.07566695818249558,0.17557742834180515,0.004210905478209471,2.486800262761006,0.0,False
gyro_min,0,0,1607,0.024981715108027422,0.042504714459595146,0.0010817492494424761,0.4073719562651045,0.0,False
gyro_max,0,0,1759,0.43849051276159523,0.9625799022746605,0.035450520000460374,15.684315145498733,0.0,False
gyro_rms,0,0,3153,0.15903715357755333,0.2568891008754415,0.018495512539866556,3.387257354022978,0.0,False
gyro_p90,0,0,3037,0.23383127957843233,0.416214004732906,0.02560228801283701,5.789757294908011,0.0,False
gyro_p95,0,0,2945,0.27952110764335314,0.5400056026039611,0.0288674023633954,7.968834177162003,0.0,False
gyro_energy,0,0,3153,0.09128482636664303,0.6621585920039487,0.000342083984112361,11.473512382382747,0.0,False
gyro_peak_count,0,0,87,3.2660957817951157,21.768057278455235,0.0,285.0,0.9124643196955281,False
gyro_sma,0,0,3153,0.135872842770932,0.19044809019855088,0.017336975136464157,2.766054797376198,0.0,False
motion_mean,0,0,3153,1.662021330587638,0.7247364542792163,0.30670430540316296,9.034535962358396,0.0,False
motion_std,0,0,3153,0.8705893519344483,0.4933774092598845,0.15208916194603614,5.96489068215347,0.0,False
motion_max,0,0,1714,5.357029883369016,3.4912715928399543,0.9041567991824195,39.03728410317628,0.0,False
motion_rms,0,0,3153,1.8843857986634336,0.8590664007832715,0.351032093158411,10.578439128825096,0.0,False
motion_energy,0,0,3153,4.288904919159151,5.542744737893991,0.12322353042717533,111.90337440225784,0.0,False
